	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_706800	1.63202082827334	-0.44299935121287	0.250114585401483	-0.574402639458046	-0.864733423003906	mouseSampleTag5
Aoki_218753	1.65792445460663	-0.506216078777583	0.205561989351868	-0.552768922538603	-0.804501442642314	mouseSampleTag5
Aoki_709902	1.6548573083396	-0.524544646831383	0.226975653433586	-0.595980772816067	-0.761307542125733	mouseSampleTag5
Aoki_788802	1.63454379765353	-0.550296659798648	0.288495157057769	-0.686371147456327	-0.686371147456327	mouseSampleTag5
Aoki_102429	1.64533109530421	-0.552052365995455	0.262579504897069	-0.677929117102913	-0.677929117102913	mouseSampleTag5
Aoki_591857	1.63854680254952	-0.573718836801395	0.281745759705997	-0.67328686272706	-0.67328686272706	mouseSampleTag5
Aoki_73224	1.6543918258737	-0.560818390744128	0.240915379951517	-0.667244407540545	-0.667244407540545	mouseSampleTag5
Aoki_97144	1.65614958732733	-0.555847506609989	0.235808888977896	-0.66805548484762	-0.66805548484762	mouseSampleTag5
Aoki_266296	1.65020657137871	-0.573234101122172	0.252890266985899	-0.664931368621219	-0.664931368621219	mouseSampleTag5
Aoki_235132	1.64966628507281	-0.566422922635503	0.253533931170304	-0.668388646803808	-0.668388646803808	mouseSampleTag5
Aoki_779759	1.65201476556537	-0.563769947309495	0.247307316360509	-0.667776067308194	-0.667776067308194	mouseSampleTag5
Aoki_508684	1.66149188688985	-0.570881727108327	0.223581623195559	-0.657095891488543	-0.657095891488543	mouseSampleTag5
Aoki_717119	1.66203130270061	-0.546976971639776	0.219370449352162	-0.667212390206497	-0.667212390206497	mouseSampleTag5
Aoki_845152	1.6666037027298	-0.552238952274824	0.207928647528116	-0.661146698991548	-0.661146698991548	mouseSampleTag5
Aoki_245278	1.65008396796341	-0.491614484185492	0.240042399615324	-0.699255941696623	-0.699255941696623	mouseSampleTag5
Aoki_673522	1.64696962223382	-0.482100919514766	0.245620732066646	-0.705244717392851	-0.705244717392851	mouseSampleTag5
Aoki_272018	1.64228836748166	-0.467992640088793	0.253659809618878	-0.713977768505874	-0.713977768505874	mouseSampleTag5
Aoki_567158	1.64132044563542	-0.487216887369099	0.260642077437024	-0.707372817851672	-0.707372817851672	mouseSampleTag5
Aoki_652563	1.64012396111465	-0.47863106334708	0.261535484168388	-0.71151419096798	-0.71151419096798	mouseSampleTag5
Aoki_781624	1.6267580697887	-0.486755495143032	0.295042505128936	-0.717522539887302	-0.717522539887302	mouseSampleTag5
Aoki_4034	1.62817980699175	-0.493418277213586	0.293232572584532	-0.71399705118135	-0.71399705118135	mouseSampleTag5
Aoki_245130	1.62815164964591	-0.495237748733166	0.29369427848893	-0.713304089700836	-0.713304089700836	mouseSampleTag5
Aoki_689746	1.63617070705505	-0.514014598702525	0.278629423975999	-0.700392766164264	-0.700392766164264	mouseSampleTag5
Aoki_365135	1.62252289923171	-0.536101607960303	0.314408377063369	-0.70041483416739	-0.70041483416739	mouseSampleTag5
Aoki_66701	1.62764049771744	-0.512449194075347	0.298409692975887	-0.706800498308992	-0.706800498308992	mouseSampleTag5
Aoki_125901	1.62748968085149	-0.523973798323434	0.300898007112739	-0.702206944820399	-0.702206944820399	mouseSampleTag5
Aoki_385310	1.68949911598199	-0.423795419476613	0.114747771936901	-0.69022573422114	-0.69022573422114	mouseSampleTag5
