p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.94897796134203e-47	2.39693183096979	0.298	0.149	1.83607082365789e-44	5	Ccl3
2.27615588567967e-10	2.31985479588967	0.4	0.343	8.44453833587158e-08	5	Ccl4
2.68222192611794e-92	2.22837288593811	0.135	0.023	9.95104334589755e-90	5	Tnfrsf25
6.08693954963237e-127	2.14479828817258	0.406	0.146	2.25825457291361e-124	5	Il2ra
6.28392866096943e-241	2.13882371735091	0.812	0.434	2.33133753321966e-238	5	Tnfrsf9
3.50832540188927e-181	2.01181685165368	0.65	0.287	1.30158872410092e-178	5	Cd160
4.31292644057042e-57	1.93511021210977	0.201	0.071	1.60009570945163e-54	5	Lta
6.69090230592364e-62	1.90671484912459	0.233	0.085	2.48232475549767e-59	5	Lap3
7.20446481713364e-103	1.89746913492253	0.258	0.073	2.67285644715658e-100	5	Myc
8.35955623850295e-92	1.79145568750403	0.292	0.098	3.10139536448459e-89	5	Tnfsf14
1.72928993264991e-94	1.7495112470888	0.403	0.17	6.41566565013116e-92	5	Stat5a
8.12038259921921e-175	1.62815389968945	0.864	0.593	3.01266194431033e-172	5	Tnfrsf18
2.2630091622523e-61	1.59768998833255	0.18	0.055	8.39576399195603e-59	5	Btla
1.826233533684e-101	1.51683120938647	0.533	0.262	6.77532640996765e-99	5	Tfrc
9.597595993598e-54	1.41757690613068	0.221	0.084	3.56070811362486e-51	5	Fas
3.96202816449261e-105	1.38851968444847	0.646	0.349	1.46991244902676e-102	5	Nfkb1
6.81490354232453e-221	1.35997651588137	0.986	0.827	2.5283292142024e-218	5	Bcl2a1a
1.94464776452691e-152	1.23408799476756	0.943	0.817	7.21464320639484e-150	5	Lag3
2.65379669347454e-52	1.22687090424788	0.314	0.147	9.84558573279053e-50	5	Tgfb1
5.01927017589345e-104	1.20543245703835	0.734	0.44	1.86214923525647e-101	5	Nfkb2
7.13167191915217e-54	1.15645080620342	0.482	0.283	2.64585028200546e-51	5	Jak2
2.0608398404793e-21	1.13381698977248	0.153	0.074	7.64571580817822e-19	5	Tspan32
3.44237938250247e-124	1.09322913453876	0.923	0.754	1.27712275090842e-121	5	Stat3
4.54581279934104e-22	1.08339035690893	0.169	0.085	1.68649654855553e-19	5	Mapk8
6.32050203716601e-15	1.06574265750475	0.397	0.303	2.34490625578859e-12	5	Eomes
4.43616854670533e-47	1.05506241698096	0.434	0.25	1.64581853082768e-44	5	Nrp1
0.00720011137012236	1.03600625837936	0.6	0.606	1	5	Ifng
1.2979451357773e-24	1.00090962773206	0.247	0.139	4.81537645373378e-22	5	Ccnd2
2.52445222928994e-104	0.996860190062627	0.949	0.84	9.36571777066569e-102	5	Hif1a
7.49033454788792e-22	0.959218466531278	0.278	0.169	2.77891411726642e-19	5	Tmem97
3.28034416493987e-79	0.956560209952514	0.81	0.596	1.21700768519269e-76	5	Stat4
5.65877912432138e-62	0.870551956259252	0.88	0.75	2.09940705512323e-59	5	Ybx3
6.74497130686959e-41	0.841392927363144	0.568	0.39	2.50238435484862e-38	5	Il18rap
3.10879644949786e-18	0.823692612907641	0.163	0.085	1.15336348276371e-15	5	Stat6
4.05288239870084e-37	0.819135033782418	0.511	0.339	1.50361936991801e-34	5	Atf6b
1.06595020597812e-18	0.71480479302684	0.353	0.24	3.95467526417882e-16	5	Pdia4
3.95684246488831e-58	0.707981541700786	0.9	0.78	1.46798855447356e-55	5	Cd6
8.11345508098616e-19	0.697950059199936	0.381	0.265	3.01009183504586e-16	5	Rora
4.02784972192468e-36	0.686612626989781	0.739	0.584	1.49433224683406e-33	5	Cd27
9.01907188444886e-34	0.680155063173512	0.798	0.682	3.34607566913053e-31	5	Cd5
1.94486830387844e-25	0.634030586318486	0.745	0.628	7.215461407389e-23	5	Trbc1
4.52026963584356e-53	0.594866959333059	0.961	0.907	1.67702003489796e-50	5	Zap70
8.61470669515246e-83	0.577655488786084	1	0.997	3.19605618390156e-80	5	Gapdh
1.64929088273317e-25	0.576755011157855	0.697	0.576	6.11886917494005e-23	5	Xbp1
